role_frac_0,role_frac_1,role_frac_2,role_frac_3,role_frac_4,role_frac_5,role_frac_6,role_frac_7,role_frac_8,role_frac_9,role_frac_10,role_frac_11,role_entropy,role_gini,unassigned_frac,style,deck,result
0.14285714285714285,0.0,0.0,0.21428571428571427,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.07142857142857142,0.0,0.0,2.467720100474499,0.6071428571428571,0.0,aggro,AggroPirateWarrior,loss
0.4444444444444444,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,2.058813890331201,0.7129629629629629,0.0,aggro,AggroPirateWarrior,loss
0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.4591479170272448,0.8055555555555555,0.0,aggro,AggroPirateWarrior,loss
0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,1.8423709931771084,0.75,0.0,aggro,AggroPirateWarrior,win
0.3333333333333333,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.0,2.4662478973127313,0.6277777777777778,0.0,aggro,AggroPirateWarrior,loss
0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.08333333333333333,0.0,0.0,1.855388542207534,0.736111111111111,0.0,aggro,AggroPirateWarrior,loss
0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.3709505944546687,0.8166666666666668,0.0,aggro,AggroPirateWarrior,loss
0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,1.5219280948873621,0.7833333333333333,0.0,aggro,AggroPirateWarrior,loss
0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,1.8423709931771084,0.75,0.0,aggro,AggroPirateWarrior,win
0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,2.2359263506290326,0.6547619047619048,0.0,aggro,AggroPirateWarrior,loss
0.25,0.0,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1.561278124459133,0.7708333333333334,0.0,aggro,AggroPirateWarrior,win
0.3333333333333333,0.0,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,2.197159723424149,0.6759259259259259,0.0,aggro,AggroPirateWarrior,win
