game_file,style,deck,deck_family,hero_class,opp_style,opp_deck,start_player,n_turns_total,won,ch_face_pref,ch_attack_engage,ch_heropower_pref,ch_play_pref,ch_pass_with_play,ch_minion_play_pref,ch_hp_over_play,ch_hero_attack_face_pref,ch_cost_pct,ch_max_cost_pref,ch_mana_commit,ch_target_atk_pct,ch_target_hp_pct,ch_n_options,ch_face_dilemma_rate,raw_n_turns,raw_n_decisions,raw_face_dmg_per_turn,raw_dmg_taken_per_turn,raw_heal_per_turn,raw_face_attack_ratio,raw_attacks_per_turn,raw_cards_per_turn,raw_avg_card_cost,raw_max_card_cost,raw_minion_frac,raw_mana_spent,raw_mana_spent_per_turn,raw_mana_floated_per_turn,raw_hero_power_per_turn,raw_board_size_mean,raw_opp_minions_killed_per_turn,raw_my_minions_lost_per_turn,raw_first_minion_turn,raw_deck_count_end
game_014_ramp-MidrangeSecretHunter_vs_fatigue-MiraclePirateRogue.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,fatigue,MiraclePirateRogue,1,15,1,0.0,0.6875,0.0,0.8888888888888888,0.0,1.0,0.0,,0.592948717948718,0.75,0.7123511904761904,0.5,0.5,5.846153846153846,0.15384615384615385,8,26,3.875,0.0,0.0,0.8181818181818182,1.375,1.0,3.25,6.0,0.875,26.0,3.25,0.625,0.0,2.769230769230769,0.25,0.25,3.0,19
game_014_ramp-MidrangeSecretHunter_vs_fatigue-MurlocDruid.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,fatigue,MurlocDruid,2,16,1,0.3333333333333333,0.6428571428571429,0.13333333333333333,0.5882352941176471,0.0,0.5,0.07142857142857142,,0.5703703703703703,0.8888888888888888,0.81005291005291,0.5,0.4722222222222222,5.72972972972973,0.40540540540540543,8,37,3.875,0.0,0.0,0.5,2.25,1.25,2.3,6.0,0.6,23.0,2.875,0.25,0.25,2.5135135135135136,0.75,1.0,2.0,18
game_014_ramp-MidrangeSecretHunter_vs_fatigue-RenoKazakusDragonPriest.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,fatigue,RenoKazakusDragonPriest,2,17,0,,0.18181818181818182,0.3333333333333333,0.47058823529411764,0.17647058823529413,0.75,0.3333333333333333,,0.6303571428571428,0.8571428571428571,0.676530612244898,0.625,0.625,6.0,0.0,8,22,1.125,0.0,0.0,0.0,0.25,1.0,2.5,6.0,0.75,20.0,2.5,1.125,0.5,1.9545454545454546,0.5,0.125,2.0,18
game_014_ramp-MidrangeSecretHunter_vs_fatigue-RenoKazakusMage.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,fatigue,RenoKazakusMage,2,21,0,0.0,0.5555555555555556,0.23333333333333334,0.6086956521739131,0.13043478260869565,0.8,0.1111111111111111,0.0,0.5433333333333333,0.9,0.42202380952380947,0.4642857142857143,0.42857142857142855,4.217391304347826,0.13043478260869565,10,46,3.4,1.4,0.0,0.5333333333333333,1.5,1.4,2.0714285714285716,6.0,0.35714285714285715,29.0,2.9,1.3,0.7,1.7173913043478262,0.6,0.1,2.0,16
game_014_ramp-MidrangeSecretHunter_vs_fatigue-ZooDiscardWarlock.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,fatigue,ZooDiscardWarlock,2,13,0,,,0.0,1.0,0.0,0.4,0.0,,0.6517857142857143,0.8571428571428571,0.7999999999999999,,,3.5714285714285716,0.0,6,14,0.0,0.0,0.0,,0.0,1.3333333333333333,2.625,6.0,0.625,21.0,3.5,0.16666666666666666,0.0,0.42857142857142855,0.16666666666666666,0.0,2.0,20
game_014_ramp-MidrangeSecretHunter_vs_midrange-AggroPirateWarrior.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,midrange,AggroPirateWarrior,1,10,0,0.0,1.0,0.2857142857142857,0.5,0.125,0.6,0.2857142857142857,0.0,0.6,0.75,0.6708333333333333,0.9,0.3,4.75,0.08333333333333333,5,12,0.8,1.6,0.0,0.0,0.2,0.8,2.25,3.0,0.75,9.0,1.8,0.4,0.4,0.5,0.2,0.0,5.0,22
game_014_ramp-MidrangeSecretHunter_vs_midrange-MidrangeBuffPaladin.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,midrange,MidrangeBuffPaladin,1,18,0,0.25,0.5652173913043478,0.1875,0.47058823529411764,0.058823529411764705,0.75,0.1875,,0.5973214285714286,0.875,0.807142857142857,0.5,0.5,6.7272727272727275,0.36363636363636365,9,33,2.5555555555555554,0.0,0.0,0.6153846153846154,1.4444444444444444,0.8888888888888888,3.625,6.0,0.375,29.0,3.2222222222222223,1.1111111111111112,0.3333333333333333,2.484848484848485,0.4444444444444444,0.4444444444444444,3.0,18
game_014_ramp-MidrangeSecretHunter_vs_midrange-MidrangeJadeShaman.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,midrange,MidrangeJadeShaman,1,19,0,0.30434782608695654,0.6956521739130435,0.16666666666666666,0.35714285714285715,0.07142857142857142,1.0,0.16666666666666666,0.0,0.5249603174603175,0.8,0.6318650793650794,0.4385416666666666,0.5677083333333334,8.923076923076923,0.5897435897435898,9,39,2.2222222222222223,0.4444444444444444,0.0,0.4375,1.7777777777777777,1.1111111111111112,2.6,6.0,0.6,26.0,2.888888888888889,1.2222222222222223,0.4444444444444444,2.6666666666666665,1.1111111111111112,0.2222222222222222,1.0,18
game_014_ramp-MidrangeSecretHunter_vs_midrange-MidrangeSecretHunter.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,midrange,MidrangeSecretHunter,2,15,0,0.0,0.6666666666666666,0.2,0.5833333333333334,0.08333333333333333,0.4,0.2,,0.6444444444444444,0.8333333333333334,0.8583333333333334,0.5,0.375,5.5,0.05555555555555555,7,18,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,1.0,2.7142857142857144,6.0,0.2857142857142857,19.0,2.7142857142857144,0.8571428571428571,0.2857142857142857,0.6666666666666666,0.42857142857142855,0.14285714285714285,2.0,19
game_014_ramp-MidrangeSecretHunter_vs_midrange-MiraclePirateRogue.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,midrange,MiraclePirateRogue,2,17,0,0.2857142857142857,0.5555555555555556,0.09090909090909091,0.9166666666666666,0.0,0.875,0.09090909090909091,,0.6590277777777778,0.7,0.8373809523809523,0.16666666666666666,0.16666666666666666,5.28,0.28,8,25,1.375,0.0,0.0,0.8,0.625,1.375,3.0,6.0,0.6363636363636364,33.0,4.125,0.25,0.125,1.16,0.375,0.0,2.0,18
game_014_ramp-MidrangeSecretHunter_vs_midrange-MurlocDruid.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,midrange,MurlocDruid,2,13,0,0.0,0.0,0.125,0.8888888888888888,0.0,0.5,0.125,,0.49513888888888896,0.5,0.7527777777777778,,,3.6666666666666665,0.06666666666666667,6,15,0.8333333333333334,0.0,0.0,,0.0,1.3333333333333333,2.25,4.0,0.375,18.0,3.0,0.3333333333333333,0.16666666666666666,0.4666666666666667,0.16666666666666666,0.0,2.0,20
game_014_ramp-MidrangeSecretHunter_vs_midrange-RenoKazakusDragonPriest.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,midrange,RenoKazakusDragonPriest,2,17,0,0.3888888888888889,0.5714285714285714,0.07692307692307693,0.8,0.0,0.75,0.0,0.25,0.46759259259259256,0.6666666666666666,0.7634920634920634,0.5,0.5,5.818181818181818,0.5454545454545454,8,33,3.75,1.0,0.0,0.75,1.5,1.5,2.75,6.0,0.5833333333333334,33.0,4.125,0.25,0.125,2.0,0.375,0.125,4.0,18
game_014_ramp-MidrangeSecretHunter_vs_midrange-RenoKazakusMage.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,midrange,RenoKazakusMage,2,16,1,0.5,0.6296296296296297,0.15384615384615385,0.5625,0.0625,0.4,0.15384615384615385,,0.5683278867102396,0.7777777777777778,0.735978835978836,0.5,0.5,7.885714285714286,0.5142857142857142,8,35,3.75,0.0,0.0,0.8823529411764706,2.125,1.125,2.7777777777777777,6.0,0.4444444444444444,25.0,3.125,0.25,0.25,3.0285714285714285,0.75,0.75,2.0,18
game_014_ramp-MidrangeSecretHunter_vs_midrange-ZooDiscardWarlock.jsonl,ramp,MidrangeSecretHunter,midrange,HUNTER,midrange,ZooDiscardWarlock,1,22,0,0.07692307692307693,0.42857142857142855,0.15,0.5833333333333334,0.125,0.9,0.10526315789473684,0.0,0.5168192918192918,0.6153846153846154,0.5796092796092795,0.5208333333333334,0.5104166666666666,6.405405405405405,0.35135135135135137,11,37,0.6363636363636364,0.6363636363636364,0.0,0.1111111111111111,0.8181818181818182,1.2727272727272727,2.642857142857143,6.0,0.6428571428571429,37.0,3.3636363636363638,2.0,0.2727272727272727,2.027027027027027,0.7272727272727273,0.0,5.0,16
