protocol,features,pool_N,held_out,acc,ari_direct,ari_lda,n_test
LOAO,choice+deckz,1,combo_tempo,0.4928888888888889,0.11012353857492876,0.21105795581826647,4500
LOAO,choice+deckz,1,highlander_control,0.4183798199799978,0.11182864865581774,0.10969100876195273,8999
LOAO,choice+deckz,1,midrange,0.47122009037706497,0.10927211714772057,0.14940726170310142,13499
LOAO,choice+deckz,10,aggro,0.6646884272997032,0.24393783757238963,0.3316599564204375,1348
LOAO,choice+deckz,10,combo_tempo,0.7044444444444444,0.39169890945060026,0.4395977459440481,450
LOAO,choice+deckz,10,highlander_control,0.4883203559510567,0.3143279048083408,0.3071279848772378,899
LOAO,choice+deckz,10,midrange,0.6085989621942179,0.2214147727325012,0.28664572739109784,1349
LOAO,raw+choice,1,aggro,0.5077812361049355,0.06171451137377525,0.21442731865283016,13494
LOAO,raw+choice,1,combo_tempo,0.5482222222222223,0.10190992460217259,0.2504838818364951,4500
LOAO,raw+choice,1,highlander_control,0.49472163573730416,0.13357365140837968,0.14144523951893748,8999
LOAO,raw+choice,1,midrange,0.4842580931920883,0.05024981259558071,0.156018959608131,13499
LOAO,raw+choice,10,aggro,0.637240356083086,0.21283571992783035,0.32808952071555786,1348
LOAO,raw+choice,10,combo_tempo,0.6444444444444445,0.48104821723519275,0.5627495879929716,450
LOAO,raw+choice,10,highlander_control,0.5517241379310345,0.2215369838820705,0.2982427508696182,899
LOAO,raw+choice,10,midrange,0.5930318754633062,0.1957203792991816,0.2789909181334985,1349
LOAO,raw+choice+deckz,1,aggro,0.5437231362086853,0.07154020199848213,0.2391200641941686,13494
LOAO,raw+choice+deckz,1,combo_tempo,0.5486666666666666,0.10190992460217259,0.2374046810040158,4500
LOAO,raw+choice+deckz,1,highlander_control,0.5008334259362152,0.15532422079732766,0.17662432174145665,8999
LOAO,raw+choice+deckz,1,midrange,0.5366323431365286,0.08607412195914226,0.23841321268348703,13499
LOAO,raw+choice+deckz,10,aggro,0.8471810089020771,0.35374118035752933,0.6452935135812926,1348
LOAO,raw+choice+deckz,10,combo_tempo,0.8355555555555556,0.48104821723519275,0.6180164317134342,450
LOAO,raw+choice+deckz,10,highlander_control,0.7352614015572859,0.40855377737461757,0.5092276539041987,899
LOAO,raw+choice+deckz,10,midrange,0.8280207561156412,0.2842773088696522,0.6619375587865163,1349
LODO,raw,1,AggroPirateWarrior,0.42333333333333334,0.0683995826931384,0.12622474329025818,4500
LODO,raw,1,MidrangeBuffPaladin,0.4251111111111111,0.062009144659022,0.12526622162744458,4500
LODO,raw,1,MidrangeJadeShaman,0.3194043120693487,0.03596647658704482,0.12333556155044516,4499
LODO,raw,1,MidrangeSecretHunter,0.3791111111111111,0.10438283872555913,0.10644372750671645,4500
LODO,raw,1,MiraclePirateRogue,0.4271111111111111,0.07091517251121539,0.11529030952211318,4500
LODO,raw,1,MurlocDruid,0.497774810858923,0.09274265721410492,0.11613773318119311,4494
LODO,raw,1,RenoKazakusDragonPriest,0.448,0.07899988094270899,0.1274134208047312,4500
LODO,raw,1,RenoKazakusMage,0.437875083351856,0.08890391488262177,0.10384713439139347,4499
LODO,raw,1,ZooDiscardWarlock,0.3446666666666667,0.08676570185361503,0.16837837317719967,4500
LODO,raw,10,AggroPirateWarrior,0.6177777777777778,0.2696351378549837,0.49331087167705623,450
LODO,raw,10,MidrangeBuffPaladin,0.64,0.2844556757070286,0.545463977976244,450
LODO,raw,10,MidrangeJadeShaman,0.21380846325167038,0.4580269332633089,0.6516512448299282,449
LODO,raw,10,MidrangeSecretHunter,0.3933333333333333,0.3602000320458854,0.5217893375184037,450
LODO,raw,10,MiraclePirateRogue,0.46,0.4920320382558201,0.5364844664348848,450
LODO,raw,10,MurlocDruid,0.7834821428571429,0.4276681732193092,0.631244712709627,448
LODO,raw,10,RenoKazakusDragonPriest,0.5888888888888889,0.3385844506388614,0.458106502582541,450
LODO,raw,10,RenoKazakusMage,0.5389755011135857,0.2837382929719667,0.27203259705280297,449
LODO,raw,10,ZooDiscardWarlock,0.4311111111111111,0.4349107865716693,0.5533867668919603,450
LODO,raw+deckz (OLD),1,AggroPirateWarrior,0.416,0.0683995826931384,0.11937793611656847,4500
LODO,raw+deckz (OLD),1,MidrangeBuffPaladin,0.44133333333333336,0.062009144659022,0.1100679141733039,4500
LODO,raw+deckz (OLD),1,MidrangeJadeShaman,0.44854412091575907,0.03596647658704482,0.15472127216225615,4499
LODO,raw+deckz (OLD),1,MidrangeSecretHunter,0.42,0.10438283872555913,0.13551493036210635,4500
LODO,raw+deckz (OLD),1,MiraclePirateRogue,0.474,0.07091517251121539,0.12035925387303291,4500
LODO,raw+deckz (OLD),1,MurlocDruid,0.5226969292389854,0.09274265721410492,0.13999332734160594,4494
LODO,raw+deckz (OLD),1,RenoKazakusDragonPriest,0.4782222222222222,0.07899988094270899,0.1275586696823668,4500
LODO,raw+deckz (OLD),1,RenoKazakusMage,0.4572127139364303,0.08890391488262177,0.13414344828911537,4499
LODO,raw+deckz (OLD),1,ZooDiscardWarlock,0.4617777777777778,0.08676570185361503,0.11059534917000151,4500
LODO,raw+deckz (OLD),10,AggroPirateWarrior,0.7711111111111111,0.2696351378549837,0.594964049702319,450
LODO,raw+deckz (OLD),10,MidrangeBuffPaladin,0.7888888888888889,0.2844556757070286,0.5806377828183672,450
LODO,raw+deckz (OLD),10,MidrangeJadeShaman,0.844097995545657,0.4580269332633089,0.7141640750274761,449
LODO,raw+deckz (OLD),10,MidrangeSecretHunter,0.7444444444444445,0.3602000320458854,0.5170264047121157,450
LODO,raw+deckz (OLD),10,MiraclePirateRogue,0.7911111111111111,0.4920320382558201,0.601002288819533,450
LODO,raw+deckz (OLD),10,MurlocDruid,0.8236607142857143,0.4276681732193092,0.7452709805420107,448
LODO,raw+deckz (OLD),10,RenoKazakusDragonPriest,0.7644444444444445,0.3385844506388614,0.5418352261752155,450
LODO,raw+deckz (OLD),10,RenoKazakusMage,0.7037861915367484,0.2837382929719667,0.4661448388736257,449
LODO,raw+deckz (OLD),10,ZooDiscardWarlock,0.74,0.4349107865716693,0.5481518600408708,450
LODO,choice (NEW),1,AggroPirateWarrior,0.48644444444444446,0.11330033182002366,0.1555316537185399,4500
LODO,choice (NEW),1,MidrangeBuffPaladin,0.5266666666666666,0.1846464723582899,0.24741132543590444,4500
LODO,choice (NEW),1,MidrangeJadeShaman,0.40809068681929317,0.20161627244610175,0.2235491393902612,4499
LODO,choice (NEW),1,MidrangeSecretHunter,0.46644444444444444,0.18820982567066905,0.17189480726710224,4500
LODO,choice (NEW),1,MiraclePirateRogue,0.484,0.11012353857492876,0.20833717883329783,4500
LODO,choice (NEW),1,MurlocDruid,0.5093457943925234,0.11440520575601452,0.21719008734086281,4494
LODO,choice (NEW),1,RenoKazakusDragonPriest,0.49933333333333335,0.18726522586693045,0.21099075404546072,4500
LODO,choice (NEW),1,RenoKazakusMage,0.4365414536563681,0.09601928194115388,0.13321096766252322,4499
