stage,pool,feature_set,N,retrieval,top1,top5,mrr,chance,n_units,seed
baseline,all-users,both,5,full-pool,0.0634920634920634,0.1322751322751322,0.1267997977149934,0.0052910052910053,189,
baseline,all-users,both,5,matched-C10,0.3135873276684608,0.7911854945793436,,0.1,189,
baseline,all-users,cardseq,10,full-pool,0.0594594594594594,0.1837837837837838,0.1321054200922612,0.0054054054054053,185,
baseline,all-users,cardseq,10,matched-C10,0.3191422941919838,0.7547562625333425,,0.1,185,
baseline,all-users,rhythm,10,full-pool,0.0378378378378378,0.1135135135135135,0.0944246613418417,0.0054054054054053,185,
baseline,all-users,rhythm,10,matched-C10,0.2472928329090735,0.7071652403076365,,0.1,185,
baseline,all-users,role,10,full-pool,0.0972972972972973,0.2486486486486486,0.1835537958802457,0.0054054054054053,185,
baseline,all-users,role,10,matched-C10,0.4286775801944582,0.8136992669589451,,0.1,185,
baseline,all-users,both,10,full-pool,0.1081081081081081,0.2702702702702703,0.201209375742261,0.0054054054054053,185,
baseline,all-users,both,10,matched-C10,0.4252904644765773,0.8127505942098945,,0.1,185,
baseline,all-users,cardseq,20,full-pool,0.1104972375690607,0.3370165745856354,0.2300517033841189,0.005524861878453,181,
baseline,all-users,cardseq,20,matched-C10,0.5083709877270469,0.8890253089884471,,0.1,181,
baseline,all-users,rhythm,20,full-pool,0.0939226519337016,0.2486187845303867,0.1773157033253509,0.005524861878453,181,
baseline,all-users,rhythm,20,matched-C10,0.4194594909047189,0.8409296706229161,,0.1,181,
baseline,all-users,role,20,full-pool,0.143646408839779,0.3259668508287293,0.2518318333067787,0.005524861878453,181,
baseline,all-users,role,20,matched-C10,0.5467572980908391,0.944209318297406,,0.1,181,
baseline,all-users,both,20,full-pool,0.2320441988950276,0.4640883977900552,0.3483349580880696,0.005524861878453,181,
baseline,all-users,both,20,matched-C10,0.6153463564339376,0.9370628208869384,,0.1,181,
baseline,all-users,cardseq,30,full-pool,0.1954022988505747,0.4195402298850574,0.3160679936147039,0.0057471264367816,174,
baseline,all-users,cardseq,30,matched-C10,0.5629151295019105,0.923864626148008,,0.1,174,
baseline,all-users,rhythm,30,full-pool,0.1034482758620689,0.3333333333333333,0.2196847037147265,0.0057471264367816,174,
baseline,all-users,rhythm,30,matched-C10,0.4751042529828285,0.8959474590239181,,0.1,174,
baseline,all-users,role,30,full-pool,0.264367816091954,0.5057471264367817,0.3856515586268465,0.0057471264367816,174,
baseline,all-users,role,30,matched-C10,0.6612084756094083,0.9718324773685464,,0.1,174,
baseline,all-users,both,30,full-pool,0.367816091954023,0.5459770114942529,0.4647613843784421,0.0057471264367816,174,
baseline,all-users,both,30,matched-C10,0.6854404427279891,0.9550071063871018,,0.1,174,
baseline,all-users,cardseq,50,full-pool,0.2926829268292683,0.5182926829268293,0.4071953196881805,0.0060975609756097,164,
baseline,all-users,cardseq,50,matched-C10,0.6596352504524828,0.9673883645540432,,0.1,164,
