stage,pool,feature_set,N,retrieval,top1,top5,mrr,chance,n_units,seed
ge2e,all-users,b_lsa,20,full-pool,0.7272727272727273,1.0,0.8340909090909091,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa,20,matched-C10,0.9103829806041944,1.0,,0.1,44,0.0
ge2e,all-users,b_lsa,30,full-pool,0.8863636363636364,0.9772727272727273,0.9149891774891775,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa,30,matched-C10,0.9391773867831426,0.9999837163165224,,0.1,44,0.0
ge2e,all-users,b_lsa,50,full-pool,0.9318181818181818,1.0,0.9545454545454546,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa,50,matched-C10,0.9718289368034121,1.0,,0.1,44,0.0
ge2e,within-class,b_lsa,1,full-pool,0.1349862258953168,0.39669421487603307,0.2774422323668004,0.024793388429752164,363,0.0
ge2e,within-class,b_lsa,1,matched-C10,0.32485489178815613,0.7820942098439047,,0.1,363,0.0
ge2e,within-class,b_lsa,3,full-pool,0.32857142857142857,0.6857142857142857,0.48978164127958834,0.0257142857142857,350,0.0
ge2e,within-class,b_lsa,3,matched-C10,0.563498535835854,0.9324203373736011,,0.1,350,0.0
ge2e,within-class,b_lsa,5,full-pool,0.4434250764525994,0.7920489296636085,0.5963550565702632,0.027522935779816553,327,0.0
ge2e,within-class,b_lsa,5,matched-C10,0.6636742127279417,0.966147458195121,,0.1,327,0.0
ge2e,within-class,b_lsa,10,full-pool,0.6146179401993356,0.8970099667774086,0.7385590138912396,0.02990033222591366,301,0.0
ge2e,within-class,b_lsa,10,matched-C10,0.7874104008842682,0.9965429898756543,,0.1,301,0.0
ge2e,within-class,b_lsa,20,full-pool,0.8015873015873016,0.9841269841269841,0.8791824137062233,0.035714285714285775,252,0.0
ge2e,within-class,b_lsa,20,matched-C10,0.9002288175959686,0.9998015907686072,,0.1,252,0.0
ge2e,within-class,b_lsa,30,full-pool,0.9023255813953488,0.9953488372093023,0.9426799557032115,0.041860465116279076,215,0.0
ge2e,within-class,b_lsa,30,matched-C10,0.9487865397334823,0.999931785525953,,0.1,215,0.0
ge2e,within-class,b_lsa,50,full-pool,0.9363057324840764,1.0,0.9681528662420382,0.05732484076433118,157,0.0
ge2e,within-class,b_lsa,50,matched-C10,0.9667297554745543,1.0,,0.1,157,0.0
ge2e,within-archetype,b_lsa,1,full-pool,0.18181818181818182,0.4770716009654063,0.33025004725177054,0.03942075623491566,1243,0.0
ge2e,within-archetype,b_lsa,1,matched-C10,0.30449068031569965,0.7474818756584058,,0.1,1243,0.0
ge2e,within-archetype,b_lsa,3,full-pool,0.32407407407407407,0.7139917695473251,0.4955429325599603,0.05041152263374508,972,0.0
ge2e,within-archetype,b_lsa,3,matched-C10,0.4485511015491075,0.8869820322300283,,0.1,972,0.0
ge2e,within-archetype,b_lsa,5,full-pool,0.4242053789731051,0.8007334963325183,0.586392087425813,0.05990220048899789,818,0.0
ge2e,within-archetype,b_lsa,5,matched-C10,0.5180803091682065,0.9314340695418064,,0.1,803,0.0
ge2e,within-archetype,b_lsa,10,full-pool,0.5564516129032258,0.8983870967741936,0.705425895788798,0.07903225806451666,620,0.0
ge2e,within-archetype,b_lsa,10,matched-C10,0.6056484004912163,0.9471699682182985,,0.1,485,0.0
ge2e,within-archetype,b_lsa,20,full-pool,0.7918660287081339,0.9856459330143541,0.8751689830637197,0.11483253588516784,418,0.0
ge2e,within-archetype,b_lsa,20,matched-C10,0.769825080579798,0.9897908695078507,,0.1,265,0.0
ge2e,within-archetype,b_lsa,30,full-pool,0.8848684210526315,0.993421052631579,0.9319901315789473,0.1480263157894738,304,0.0
ge2e,within-archetype,b_lsa,30,matched-C10,0.8433566433566434,0.9902097902097902,,0.1,95,0.0
ge2e,within-archetype,b_lsa,50,full-pool,0.9302325581395349,1.0,0.9607558139534884,0.23255813953488347,172,0.0
ge2e,within-archetype,b_lsa,50,matched-C10,1.0,1.0,,0.1,10,0.0
ge2e,pilot|distractors=all,b_lsa,1,matched-C10,0.601807485761686,,,0.1,1243,0.0
ge2e,pilot|distractors=class,b_lsa,1,matched-C10,0.4670741426479272,,,0.1,1243,0.0
ge2e,pilot|distractors=archetype,b_lsa,1,matched-C10,0.30449068031569965,,,0.1,1243,0.0
ge2e,pilot|distractors=all,b_lsa,3,matched-C10,0.875676937046643,,,0.1,972,0.0
ge2e,pilot|distractors=class,b_lsa,3,matched-C10,0.696856118265462,,,0.1,972,0.0
ge2e,pilot|distractors=archetype,b_lsa,3,matched-C10,0.44855110154910727,,,0.1,972,0.0
ge2e,pilot|distractors=all,b_lsa,5,matched-C10,0.9401482352774907,,,0.1,818,0.0
ge2e,pilot|distractors=class,b_lsa,5,matched-C10,0.776847195448916,,,0.1,818,0.0
ge2e,pilot|distractors=archetype,b_lsa,5,matched-C10,0.518080309168206,,,0.1,803,0.0
ge2e,pilot|distractors=all,b_lsa,10,matched-C10,0.9744760217062065,,,0.1,620,0.0
ge2e,pilot|distractors=class,b_lsa,10,matched-C10,0.8530019756247683,,,0.1,620,0.0
ge2e,pilot|distractors=archetype,b_lsa,10,matched-C10,0.6056484004912164,,,0.1,485,0.0
ge2e,pilot|distractors=all,b_lsa,20,matched-C10,0.9906843473119886,,,0.1,419,0.0
ge2e,pilot|distractors=class,b_lsa,20,matched-C10,0.9330687836232229,,,0.1,419,0.0
ge2e,pilot|distractors=archetype,b_lsa,20,matched-C10,0.7698250805797981,,,0.1,265,0.0
ge2e,pilot|distractors=all,b_lsa,30,matched-C10,0.9934609636575832,,,0.1,308,0.0
ge2e,pilot|distractors=class,b_lsa,30,matched-C10,0.9559623901794986,,,0.1,308,0.0
ge2e,pilot|distractors=archetype,b_lsa,30,matched-C10,0.8433566433566434,,,0.1,95,0.0
ge2e,pilot|distractors=all,b_lsa,50,matched-C10,0.9950289523802524,,,0.1,179,0.0
ge2e,pilot|distractors=class,b_lsa,50,matched-C10,0.9655409486425789,,,0.1,179,0.0
ge2e,pilot|distractors=archetype,b_lsa,50,matched-C10,1.0,,,0.1,10,0.0
ge2e,all-users,b_lsa,1,full-pool,0.09090909090909091,0.18181818181818182,0.1754594101832613,0.022727272727272714,44,1.0
ge2e,all-users,b_lsa,1,matched-C10,0.18442478326199252,0.6938437582375847,,0.1,44,1.0
ge2e,all-users,b_lsa,3,full-pool,0.20454545454545456,0.5454545454545454,0.3739478923633295,0.022727272727272714,44,1.0
ge2e,all-users,b_lsa,3,matched-C10,0.4599708768231323,0.8280061675664268,,0.1,44,1.0
ge2e,all-users,b_lsa,5,full-pool,0.3181818181818182,0.5909090909090909,0.4603615237784851,0.022727272727272714,44,1.0
ge2e,all-users,b_lsa,5,matched-C10,0.5308081449601585,0.9376379906054207,,0.1,44,1.0
ge2e,all-users,b_lsa,10,full-pool,0.45454545454545453,0.7954545454545454,0.6040759114622749,0.022727272727272714,44,1.0
ge2e,all-users,b_lsa,10,matched-C10,0.699987384256125,0.9888156541289658,,0.1,44,1.0
ge2e,all-users,b_lsa,20,full-pool,0.7954545454545454,0.9772727272727273,0.8566919191919193,0.022727272727272714,44,1.0
ge2e,all-users,b_lsa,20,matched-C10,0.9058095153342488,0.9998742486054781,,0.1,44,1.0
ge2e,all-users,b_lsa,30,full-pool,0.8636363636363636,1.0,0.9166666666666669,0.022727272727272714,44,1.0
ge2e,all-users,b_lsa,30,matched-C10,0.9560555723346421,1.0,,0.1,44,1.0
ge2e,all-users,b_lsa,50,full-pool,0.9772727272727273,1.0,0.9886363636363636,0.022727272727272714,44,1.0
ge2e,all-users,b_lsa,50,matched-C10,0.9952431289640592,1.0,,0.1,44,1.0
ge2e,within-class,b_lsa,1,full-pool,0.15977961432506887,0.40771349862258954,0.28724780943756284,0.024793388429752164,363,1.0
ge2e,within-class,b_lsa,1,matched-C10,0.330167932541914,0.7729993734032,,0.1,363,1.0
ge2e,within-class,b_lsa,3,full-pool,0.32285714285714284,0.6714285714285714,0.47640736891069985,0.0257142857142857,350,1.0
ge2e,within-class,b_lsa,3,matched-C10,0.5467769923162483,0.9328188304570527,,0.1,350,1.0
ge2e,within-class,b_lsa,5,full-pool,0.39755351681957185,0.7553516819571865,0.5455285995594028,0.027522935779816553,327,1.0
ge2e,within-class,b_lsa,5,matched-C10,0.6065732166813591,0.9664215392841181,,0.1,327,1.0
ge2e,within-class,b_lsa,10,full-pool,0.6112956810631229,0.9136212624584718,0.7424575789921438,0.02990033222591366,301,1.0
ge2e,within-class,b_lsa,10,matched-C10,0.7946452926160281,0.992129865866971,,0.1,301,1.0
ge2e,within-class,b_lsa,20,full-pool,0.7619047619047619,0.9642857142857143,0.8490410052910053,0.035714285714285775,252,1.0
ge2e,within-class,b_lsa,20,matched-C10,0.8742299523574891,0.9984085355003224,,0.1,252,1.0
ge2e,within-class,b_lsa,30,full-pool,0.8744186046511628,1.0,0.9265116279069767,0.041860465116279076,215,1.0
ge2e,within-class,b_lsa,30,matched-C10,0.9353377648640541,1.0,,0.1,215,1.0
ge2e,within-class,b_lsa,50,full-pool,0.9681528662420382,1.0,0.9830148619957538,0.05732484076433118,157,1.0
ge2e,within-class,b_lsa,50,matched-C10,0.9827383182572392,1.0,,0.1,157,1.0
ge2e,within-archetype,b_lsa,1,full-pool,0.1906677393403057,0.47224456958970235,0.3336030180143421,0.03942075623491566,1243,1.0
ge2e,within-archetype,b_lsa,1,matched-C10,0.30477981514538266,0.755354707896007,,0.1,1243,1.0
ge2e,within-archetype,b_lsa,3,full-pool,0.28497942386831276,0.684156378600823,0.46496700608143615,0.05041152263374508,972,1.0
ge2e,within-archetype,b_lsa,3,matched-C10,0.4145550251132042,0.8759453524886057,,0.1,972,1.0
ge2e,within-archetype,b_lsa,5,full-pool,0.4058679706601467,0.793398533007335,0.5747326715800652,0.05990220048899789,818,1.0
ge2e,within-archetype,b_lsa,5,matched-C10,0.5066674707156904,0.9210786823156539,,0.1,803,1.0
ge2e,within-archetype,b_lsa,10,full-pool,0.5661290322580645,0.8951612903225806,0.7073789293144123,0.07903225806451666,620,1.0
ge2e,within-archetype,b_lsa,10,matched-C10,0.6095151090435875,0.947003471616954,,0.1,485,1.0
ge2e,within-archetype,b_lsa,20,full-pool,0.7320574162679426,0.9688995215311005,0.8305963773069033,0.11483253588516784,418,1.0
ge2e,within-archetype,b_lsa,20,matched-C10,0.7084423124045772,0.9836455996833352,,0.1,265,1.0
ge2e,within-archetype,b_lsa,30,full-pool,0.7697368421052632,0.9736842105263158,0.857457564365459,0.1480263157894738,304,1.0
ge2e,within-archetype,b_lsa,30,matched-C10,0.6125064409274933,0.9606183290393815,,0.1,95,1.0
ge2e,within-archetype,b_lsa,50,full-pool,0.8837209302325582,1.0,0.936046511627907,0.23255813953488347,172,1.0
ge2e,within-archetype,b_lsa,50,matched-C10,0.8,1.0,,0.1,10,1.0
ge2e,pilot|distractors=all,b_lsa,1,matched-C10,0.639920633795527,,,0.1,1243,1.0
ge2e,pilot|distractors=class,b_lsa,1,matched-C10,0.468424484484081,,,0.1,1243,1.0
ge2e,pilot|distractors=archetype,b_lsa,1,matched-C10,0.30477981514538277,,,0.1,1243,1.0
ge2e,pilot|distractors=all,b_lsa,3,matched-C10,0.881645956163712,,,0.1,972,1.0
ge2e,pilot|distractors=class,b_lsa,3,matched-C10,0.670889575481957,,,0.1,972,1.0
ge2e,pilot|distractors=archetype,b_lsa,3,matched-C10,0.41455502511320436,,,0.1,972,1.0
ge2e,pilot|distractors=all,b_lsa,5,matched-C10,0.9467210668250382,,,0.1,818,1.0
ge2e,pilot|distractors=class,b_lsa,5,matched-C10,0.7681902485832819,,,0.1,818,1.0
ge2e,pilot|distractors=archetype,b_lsa,5,matched-C10,0.5066674707156905,,,0.1,803,1.0
ge2e,pilot|distractors=all,b_lsa,10,matched-C10,0.9763203258135771,,,0.1,620,1.0
ge2e,pilot|distractors=class,b_lsa,10,matched-C10,0.8492016368189544,,,0.1,620,1.0
ge2e,pilot|distractors=archetype,b_lsa,10,matched-C10,0.6095151090435875,,,0.1,485,1.0
ge2e,pilot|distractors=all,b_lsa,20,matched-C10,0.9857620489780535,,,0.1,419,1.0
ge2e,pilot|distractors=class,b_lsa,20,matched-C10,0.9028927273605101,,,0.1,419,1.0
ge2e,pilot|distractors=archetype,b_lsa,20,matched-C10,0.7084423124045771,,,0.1,265,1.0
ge2e,pilot|distractors=all,b_lsa,30,matched-C10,0.9857575555796733,,,0.1,308,1.0
ge2e,pilot|distractors=class,b_lsa,30,matched-C10,0.9017941586010305,,,0.1,308,1.0
ge2e,pilot|distractors=archetype,b_lsa,30,matched-C10,0.6125064409274934,,,0.1,95,1.0
ge2e,pilot|distractors=all,b_lsa,50,matched-C10,0.9924872468607157,,,0.1,179,1.0
ge2e,pilot|distractors=class,b_lsa,50,matched-C10,0.9424302065649277,,,0.1,179,1.0
ge2e,pilot|distractors=archetype,b_lsa,50,matched-C10,0.8,,,0.1,10,1.0
ge2e,all-users,b_lsa,1,full-pool,0.13636363636363635,0.3409090909090909,0.26074462516520974,0.022727272727272714,44,2.0
ge2e,all-users,b_lsa,1,matched-C10,0.30178320697770195,0.8881895022071756,,0.1,44,2.0
ge2e,all-users,b_lsa,3,full-pool,0.13636363636363635,0.38636363636363635,0.28275819821942805,0.022727272727272714,44,2.0
ge2e,all-users,b_lsa,3,matched-C10,0.352168415960696,0.8411644671384347,,0.1,44,2.0
ge2e,all-users,b_lsa,5,full-pool,0.25,0.5454545454545454,0.41503139982418047,0.022727272727272714,44,2.0
ge2e,all-users,b_lsa,5,matched-C10,0.49924334784023705,0.933786450899924,,0.1,44,2.0
ge2e,all-users,b_lsa,10,full-pool,0.36363636363636365,0.75,0.5321596332959968,0.022727272727272714,44,2.0
ge2e,all-users,b_lsa,10,matched-C10,0.636991879604651,0.9789771143549093,,0.1,44,2.0
ge2e,all-users,b_lsa,20,full-pool,0.7727272727272727,0.9545454545454546,0.8651613537977174,0.022727272727272714,44,2.0
ge2e,all-users,b_lsa,20,matched-C10,0.9192077574246127,0.9995193365271283,,0.1,44,2.0
ge2e,all-users,b_lsa,30,full-pool,0.75,0.9545454545454546,0.8498376623376622,0.022727272727272714,44,2.0
ge2e,all-users,b_lsa,30,matched-C10,0.9125160447219138,0.9999807414128099,,0.1,44,2.0
ge2e,all-users,b_lsa,50,full-pool,0.8636363636363636,1.0,0.9223484848484848,0.022727272727272714,44,2.0
ge2e,all-users,b_lsa,50,matched-C10,0.9606577483775441,1.0,,0.1,44,2.0
ge2e,within-class,b_lsa,1,full-pool,0.14049586776859505,0.40771349862258954,0.2807377031072121,0.024793388429752164,363,2.0
ge2e,within-class,b_lsa,1,matched-C10,0.3287554023440906,0.767201833185649,,0.1,363,2.0
ge2e,within-class,b_lsa,3,full-pool,0.2571428571428571,0.6228571428571429,0.4217146408560505,0.0257142857142857,350,2.0
ge2e,within-class,b_lsa,3,matched-C10,0.49565319435359706,0.9268742802859621,,0.1,350,2.0
ge2e,within-class,b_lsa,5,full-pool,0.3577981651376147,0.7370030581039755,0.5265008462247558,0.027522935779816553,327,2.0
ge2e,within-class,b_lsa,5,matched-C10,0.5950461749306324,0.9677279021827176,,0.1,327,2.0
ge2e,within-class,b_lsa,10,full-pool,0.5415282392026578,0.8870431893687708,0.6859551561007236,0.02990033222591366,301,2.0
ge2e,within-class,b_lsa,10,matched-C10,0.742104342711862,0.9912185998986417,,0.1,301,2.0
ge2e,within-class,b_lsa,20,full-pool,0.7380952380952381,0.9603174603174603,0.8324593726379439,0.035714285714285775,252,2.0
ge2e,within-class,b_lsa,20,matched-C10,0.8557248492402102,0.9935749073457968,,0.1,252,2.0
ge2e,within-class,b_lsa,30,full-pool,0.8232558139534883,0.9813953488372092,0.8956589147286823,0.041860465116279076,215,2.0
ge2e,within-class,b_lsa,30,matched-C10,0.9056237702669286,0.9998037472799639,,0.1,215,2.0
ge2e,within-class,b_lsa,50,full-pool,0.9426751592356688,1.0,0.9676220806794055,0.05732484076433118,157,2.0
ge2e,within-class,b_lsa,50,matched-C10,0.9640418348487112,1.0,,0.1,157,2.0
ge2e,within-archetype,b_lsa,1,full-pool,0.18664521319388577,0.4561544650040225,0.3266341339483312,0.03942075623491566,1243,2.0
ge2e,within-archetype,b_lsa,1,matched-C10,0.2964919332704168,0.7570056844107967,,0.1,1243,2.0
ge2e,within-archetype,b_lsa,3,full-pool,0.2993827160493827,0.6697530864197531,0.46778043599344454,0.05041152263374508,972,2.0
ge2e,within-archetype,b_lsa,3,matched-C10,0.41444220312649344,0.8727056871171825,,0.1,972,2.0
ge2e,within-archetype,b_lsa,5,full-pool,0.3863080684596577,0.7762836185819071,0.5587175786295514,0.05990220048899789,818,2.0
ge2e,within-archetype,b_lsa,5,matched-C10,0.4847310537635914,0.9130632582087495,,0.1,803,2.0
ge2e,within-archetype,b_lsa,10,full-pool,0.55,0.9016129032258065,0.6995750036829126,0.07903225806451666,620,2.0
ge2e,within-archetype,b_lsa,10,matched-C10,0.6027359777118827,0.9545286863333794,,0.1,485,2.0
ge2e,within-archetype,b_lsa,20,full-pool,0.6913875598086124,0.9688995215311005,0.8071029847345632,0.11483253588516784,418,2.0
ge2e,within-archetype,b_lsa,20,matched-C10,0.6993078148266834,0.9895434753925317,,0.1,265,2.0
ge2e,within-archetype,b_lsa,30,full-pool,0.7960526315789473,0.993421052631579,0.8792214912280705,0.1480263157894738,304,2.0
ge2e,within-archetype,b_lsa,30,matched-C10,0.7083143172616854,0.9942583732057416,,0.1,95,2.0
ge2e,within-archetype,b_lsa,50,full-pool,0.8604651162790697,1.0,0.9224806201550387,0.23255813953488347,172,2.0
ge2e,within-archetype,b_lsa,50,matched-C10,0.7,1.0,,0.1,10,2.0
ge2e,pilot|distractors=all,b_lsa,1,matched-C10,0.6350778219474607,,,0.1,1243,2.0
ge2e,pilot|distractors=class,b_lsa,1,matched-C10,0.4539269524522147,,,0.1,1243,2.0
ge2e,pilot|distractors=archetype,b_lsa,1,matched-C10,0.29649193327041695,,,0.1,1243,2.0
ge2e,pilot|distractors=all,b_lsa,3,matched-C10,0.8876397222559181,,,0.1,972,2.0
ge2e,pilot|distractors=class,b_lsa,3,matched-C10,0.6605164937536644,,,0.1,972,2.0
ge2e,pilot|distractors=archetype,b_lsa,3,matched-C10,0.4144422031264933,,,0.1,972,2.0
ge2e,pilot|distractors=all,b_lsa,5,matched-C10,0.9458476831041308,,,0.1,818,2.0
ge2e,pilot|distractors=class,b_lsa,5,matched-C10,0.7584451342026566,,,0.1,818,2.0
ge2e,pilot|distractors=archetype,b_lsa,5,matched-C10,0.4847310537635919,,,0.1,803,2.0
ge2e,pilot|distractors=all,b_lsa,10,matched-C10,0.9770370668114446,,,0.1,620,2.0
ge2e,pilot|distractors=class,b_lsa,10,matched-C10,0.8520332838975846,,,0.1,620,2.0
ge2e,pilot|distractors=archetype,b_lsa,10,matched-C10,0.6027359777118829,,,0.1,485,2.0
ge2e,pilot|distractors=all,b_lsa,20,matched-C10,0.9854019018044974,,,0.1,419,2.0
ge2e,pilot|distractors=class,b_lsa,20,matched-C10,0.8924060605470664,,,0.1,419,2.0
ge2e,pilot|distractors=archetype,b_lsa,20,matched-C10,0.6993078148266834,,,0.1,265,2.0
ge2e,pilot|distractors=all,b_lsa,30,matched-C10,0.9900707293092028,,,0.1,308,2.0
ge2e,pilot|distractors=class,b_lsa,30,matched-C10,0.927408950184893,,,0.1,308,2.0
ge2e,pilot|distractors=archetype,b_lsa,30,matched-C10,0.7083143172616858,,,0.1,95,2.0
ge2e,pilot|distractors=all,b_lsa,50,matched-C10,0.9907934535480873,,,0.1,179,2.0
ge2e,pilot|distractors=class,b_lsa,50,matched-C10,0.9248245520605048,,,0.1,179,2.0
ge2e,pilot|distractors=archetype,b_lsa,50,matched-C10,0.7,,,0.1,10,2.0
ge2e,all-users,b_lsa_adv,1,full-pool,0.11363636363636363,0.3181818181818182,0.22944477110705327,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa_adv,1,matched-C10,0.26907138044702616,0.7161394752671583,,0.1,44,0.0
ge2e,all-users,b_lsa_adv,3,full-pool,0.1590909090909091,0.45454545454545453,0.2995877181196061,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa_adv,3,matched-C10,0.3713939688429941,0.8615382454382963,,0.1,44,0.0
ge2e,all-users,b_lsa_adv,5,full-pool,0.2727272727272727,0.5681818181818182,0.4211246616768282,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa_adv,5,matched-C10,0.4971712755962093,0.880205674545466,,0.1,44,0.0
ge2e,all-users,b_lsa_adv,10,full-pool,0.36363636363636365,0.7045454545454546,0.5287458441269693,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa_adv,10,matched-C10,0.6185906692967027,0.9444245711598012,,0.1,44,0.0
ge2e,all-users,b_lsa_adv,20,full-pool,0.6363636363636364,0.9318181818181818,0.7655762167125801,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa_adv,20,matched-C10,0.8474371939428512,0.999406893912372,,0.1,44,0.0
ge2e,all-users,b_lsa_adv,30,full-pool,0.75,0.9772727272727273,0.8505509641873278,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa_adv,30,matched-C10,0.9135071037778744,0.9995356202106062,,0.1,44,0.0
ge2e,all-users,b_lsa_adv,50,full-pool,0.8863636363636364,1.0,0.9431818181818182,0.022727272727272714,44,0.0
ge2e,all-users,b_lsa_adv,50,matched-C10,0.9762156448202961,1.0,,0.1,44,0.0
ge2e,within-class,b_lsa_adv,1,full-pool,0.12396694214876033,0.35537190082644626,0.24978845449600875,0.024793388429752164,363,0.0
ge2e,within-class,b_lsa_adv,1,matched-C10,0.2855456865632895,0.7592446699743315,,0.1,363,0.0
ge2e,within-class,b_lsa_adv,3,full-pool,0.24857142857142858,0.6142857142857143,0.42076108227049897,0.0257142857142857,350,0.0
ge2e,within-class,b_lsa_adv,3,matched-C10,0.49668688687999546,0.8996759452044127,,0.1,350,0.0
ge2e,within-class,b_lsa_adv,5,full-pool,0.36085626911314983,0.7247706422018348,0.5257362705702758,0.027522935779816553,327,0.0
ge2e,within-class,b_lsa_adv,5,matched-C10,0.5912155253008297,0.9638331184513627,,0.1,327,0.0
ge2e,within-class,b_lsa_adv,10,full-pool,0.4950166112956811,0.8737541528239202,0.6511108060985663,0.02990033222591366,301,0.0
ge2e,within-class,b_lsa_adv,10,matched-C10,0.7111355297338717,0.9873034662317292,,0.1,301,0.0
ge2e,within-class,b_lsa_adv,20,full-pool,0.75,0.9404761904761905,0.838452839048077,0.035714285714285775,252,0.0
ge2e,within-class,b_lsa_adv,20,matched-C10,0.8584535146571584,0.9967143785669035,,0.1,252,0.0
ge2e,within-class,b_lsa_adv,30,full-pool,0.8046511627906977,0.986046511627907,0.8838095238095238,0.041860465116279076,215,0.0
ge2e,within-class,b_lsa_adv,30,matched-C10,0.894555444130134,0.9998786653185036,,0.1,215,0.0
ge2e,within-class,b_lsa_adv,50,full-pool,0.9171974522292994,1.0,0.9511677282377919,0.05732484076433118,157,0.0
ge2e,within-class,b_lsa_adv,50,matched-C10,0.9424410787689961,1.0,,0.1,157,0.0
ge2e,within-archetype,b_lsa_adv,1,full-pool,0.1568785197103781,0.46178600160901045,0.3058607662041896,0.03942075623491566,1243,0.0
ge2e,within-archetype,b_lsa_adv,1,matched-C10,0.2794168546402921,0.7331565579334745,,0.1,1243,0.0
ge2e,within-archetype,b_lsa_adv,3,full-pool,0.2911522633744856,0.661522633744856,0.4573730013013173,0.05041152263374508,972,0.0
ge2e,within-archetype,b_lsa_adv,3,matched-C10,0.40471099393118354,0.8574199758632426,,0.1,972,0.0
ge2e,within-archetype,b_lsa_adv,5,full-pool,0.3545232273838631,0.7506112469437652,0.5284638465008343,0.05990220048899789,818,0.0
ge2e,within-archetype,b_lsa_adv,5,matched-C10,0.44640850662337966,0.9083959199320524,,0.1,803,0.0
ge2e,within-archetype,b_lsa_adv,10,full-pool,0.5048387096774194,0.8741935483870967,0.6616020941424158,0.07903225806451666,620,0.0
ge2e,within-archetype,b_lsa_adv,10,matched-C10,0.5469879077449845,0.9317888182205092,,0.1,485,0.0
ge2e,within-archetype,b_lsa_adv,20,full-pool,0.69377990430622,0.9736842105263158,0.8144206073033825,0.11483253588516784,418,0.0
ge2e,within-archetype,b_lsa_adv,20,matched-C10,0.6787078487550188,0.9836950785063994,,0.1,265,0.0
ge2e,within-archetype,b_lsa_adv,30,full-pool,0.7927631578947368,1.0,0.8774671052631581,0.1480263157894738,304,0.0
ge2e,within-archetype,b_lsa_adv,30,matched-C10,0.7044239970555757,1.0,,0.1,95,0.0
ge2e,within-archetype,b_lsa_adv,50,full-pool,0.8662790697674418,1.0,0.9268410852713178,0.23255813953488347,172,0.0
ge2e,within-archetype,b_lsa_adv,50,matched-C10,0.9,1.0,,0.1,10,0.0
ge2e,pilot|distractors=all,b_lsa_adv,1,matched-C10,0.5411581985123597,,,0.1,1243,0.0
ge2e,pilot|distractors=class,b_lsa_adv,1,matched-C10,0.42704851237970065,,,0.1,1243,0.0
ge2e,pilot|distractors=archetype,b_lsa_adv,1,matched-C10,0.27941685464029187,,,0.1,1243,0.0
ge2e,pilot|distractors=all,b_lsa_adv,3,matched-C10,0.8122673926347503,,,0.1,972,0.0
ge2e,pilot|distractors=class,b_lsa_adv,3,matched-C10,0.6353529240043839,,,0.1,972,0.0
ge2e,pilot|distractors=archetype,b_lsa_adv,3,matched-C10,0.40471099393118326,,,0.1,972,0.0
ge2e,pilot|distractors=all,b_lsa_adv,5,matched-C10,0.9046778106142581,,,0.1,818,0.0
ge2e,pilot|distractors=class,b_lsa_adv,5,matched-C10,0.7251941009414228,,,0.1,818,0.0
ge2e,pilot|distractors=archetype,b_lsa_adv,5,matched-C10,0.4464085066233796,,,0.1,803,0.0
ge2e,pilot|distractors=all,b_lsa_adv,10,matched-C10,0.9601091236560816,,,0.1,620,0.0
ge2e,pilot|distractors=class,b_lsa_adv,10,matched-C10,0.8150313898171327,,,0.1,620,0.0
ge2e,pilot|distractors=archetype,b_lsa_adv,10,matched-C10,0.5469879077449842,,,0.1,485,0.0
ge2e,pilot|distractors=all,b_lsa_adv,20,matched-C10,0.9853793542684322,,,0.1,419,0.0
ge2e,pilot|distractors=class,b_lsa_adv,20,matched-C10,0.8996734846540465,,,0.1,419,0.0
ge2e,pilot|distractors=archetype,b_lsa_adv,20,matched-C10,0.6787078487550187,,,0.1,265,0.0
ge2e,pilot|distractors=all,b_lsa_adv,30,matched-C10,0.989536061608706,,,0.1,308,0.0
ge2e,pilot|distractors=class,b_lsa_adv,30,matched-C10,0.9248501819654,,,0.1,308,0.0
ge2e,pilot|distractors=archetype,b_lsa_adv,30,matched-C10,0.7044239970555757,,,0.1,95,0.0
ge2e,pilot|distractors=all,b_lsa_adv,50,matched-C10,0.9913451151387743,,,0.1,179,0.0
ge2e,pilot|distractors=class,b_lsa_adv,50,matched-C10,0.934375353139909,,,0.1,179,0.0
ge2e,pilot|distractors=archetype,b_lsa_adv,50,matched-C10,0.9,,,0.1,10,0.0
ge2e,all-users,b_lsa_adv,1,full-pool,0.045454545454545456,0.22727272727272727,0.14948449780115233,0.022727272727272714,44,1.0
ge2e,all-users,b_lsa_adv,1,matched-C10,0.17975170516592134,0.6771751526878851,,0.1,44,1.0
ge2e,all-users,b_lsa_adv,3,full-pool,0.13636363636363635,0.36363636363636365,0.28761185543308404,0.022727272727272714,44,1.0
ge2e,all-users,b_lsa_adv,3,matched-C10,0.35036112131075864,0.855335071854462,,0.1,44,1.0
ge2e,all-users,b_lsa_adv,5,full-pool,0.11363636363636363,0.4772727272727273,0.29701684806384293,0.022727272727272714,44,1.0
ge2e,all-users,b_lsa_adv,5,matched-C10,0.40083555398956777,0.9458050661292744,,0.1,44,1.0
