game_file,style,deck,deck_family,hero_class,opp_style,opp_deck,start_player,won,n_turns_total,f_n_turns,f_actions_per_turn,f_cards_per_turn,f_cards_drawn_per_turn,f_avg_card_cost,f_max_card_cost,f_std_card_cost,f_minion_frac,f_spell_frac,f_weapon_frac,f_avg_minion_atk,f_avg_minion_health,f_first_minion_turn,f_attacks_per_turn,f_face_attack_ratio,f_hero_power_per_turn,f_hero_power_frac,f_targeted_play_frac,f_target_face_frac,f_face_dmg_per_turn,f_minion_dmg_per_turn,f_face_dmg_share,f_dmg_taken_per_turn,f_heal_per_turn,f_armor_gain_per_turn,f_board_size_mean,f_board_size_max,f_opp_minions_killed_per_turn,f_own_minions_lost_per_turn,f_trade_ratio,f_mana_spent_per_turn,f_mana_floated_per_turn,f_mana_efficiency,f_hand_size_mean,f_deck_left_end
game_006_ramp-MidrangeBuffPaladin_vs_midrange-MidrangeJadeShaman.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,midrange,MidrangeJadeShaman,1,0,23,12,3.1666666666666665,1.25,1.5,3.6,7.0,1.8903262505010434,0.9333333333333333,0.06666666666666667,0.0,2.7142857142857144,2.9285714285714284,3.0,1.75,0.2857142857142857,0.16666666666666666,0.05263157894736842,0.06666666666666667,0.0,1.0,3.3333333333333335,0.23076923076923078,3.0833333333333335,0.0,0.0,2.5,5,1.1666666666666667,1.25,0.4827586206896552,4.666666666666667,1.5833333333333333,0.7466666666666667,3.0833333333333335,13
game_006_ramp-MidrangeBuffPaladin_vs_midrange-MidrangeSecretHunter.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,midrange,MidrangeSecretHunter,2,0,15,7,2.4285714285714284,1.1428571428571428,1.1428571428571428,2.75,6.0,1.8540496217739157,0.875,0.125,0.0,2.4285714285714284,2.5714285714285716,3.0,0.8571428571428571,0.8333333333333334,0.42857142857142855,0.17647058823529413,0.0,,1.2857142857142858,0.7142857142857143,0.6428571428571429,5.0,0.2857142857142857,0.0,2.5714285714285716,5,0.5714285714285714,0.7142857142857143,0.4444444444444444,4.0,0.14285714285714285,0.9655172413793104,5.571428571428571,18
game_006_ramp-MidrangeBuffPaladin_vs_midrange-MiraclePirateRogue.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,midrange,MiraclePirateRogue,2,0,19,9,2.4444444444444446,1.4444444444444444,1.1111111111111112,3.076923076923077,7.0,1.9399261866028448,0.9230769230769231,0.07692307692307693,0.0,2.5,2.8333333333333335,1.0,0.6666666666666666,0.0,0.3333333333333333,0.13636363636363635,0.07692307692307693,0.0,0.2222222222222222,2.0,0.1,3.888888888888889,0.0,0.0,2.0,3,0.7777777777777778,1.1111111111111112,0.4117647058823529,5.111111111111111,0.0,1.0,4.0,16
game_006_ramp-MidrangeBuffPaladin_vs_midrange-MurlocDruid.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,midrange,MurlocDruid,2,0,20,10,2.9,1.3,1.2,3.3846153846153846,7.0,1.942973990817706,0.9230769230769231,0.07692307692307693,0.0,2.75,3.1666666666666665,3.0,1.1,0.45454545454545453,0.5,0.1724137931034483,0.15384615384615385,0.0,1.2,2.2,0.35294117647058826,3.1,0.0,0.0,2.6,6,0.8,1.0,0.4444444444444444,5.4,0.2,0.9642857142857143,5.2,14
game_006_ramp-MidrangeBuffPaladin_vs_midrange-RenoKazakusDragonPriest.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,midrange,RenoKazakusDragonPriest,2,1,34,17,3.2941176470588234,1.2941176470588236,1.1764705882352942,3.3636363636363638,8.0,1.8960594195103828,0.8636363636363636,0.09090909090909091,0.045454545454545456,2.6315789473684212,3.0,1.0,1.8823529411764706,0.5625,0.11764705882352941,0.03571428571428571,0.045454545454545456,0.0,2.764705882352941,2.411764705882353,0.5340909090909091,1.588235294117647,0.5882352941176471,0.0,2.7058823529411766,5,0.8823529411764706,1.0,0.46875,4.470588235294118,2.9411764705882355,0.6031746031746031,2.4705882352941178,7
game_006_ramp-MidrangeBuffPaladin_vs_midrange-RenoKazakusMage.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,midrange,RenoKazakusMage,1,1,13,7,3.7142857142857144,1.0,1.7142857142857142,2.857142857142857,5.0,1.456862718169367,0.8571428571428571,0.0,0.14285714285714285,2.0,3.0,1.0,2.7142857142857144,0.8421052631578947,0.0,0.0,0.0,,4.285714285714286,1.5714285714285714,0.7317073170731707,1.7142857142857142,0.42857142857142855,0.0,3.857142857142857,5,0.2857142857142857,0.42857142857142855,0.4,2.857142857142857,1.1428571428571428,0.7142857142857143,2.0,20
game_006_ramp-MidrangeBuffPaladin_vs_midrange-ZooDiscardWarlock.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,midrange,ZooDiscardWarlock,2,1,20,10,2.9,1.1,1.1,3.3636363636363638,8.0,2.307014098263549,0.9090909090909091,0.09090909090909091,0.0,2.8,3.0,1.0,1.4,0.5,0.4,0.13793103448275862,0.09090909090909091,0.0,2.1,1.8,0.5384615384615384,1.7,0.0,0.0,2.4,5,1.1,1.2,0.4782608695652174,4.5,1.1,0.8035714285714286,4.5,15
game_006_ramp-MidrangeBuffPaladin_vs_ramp-AggroPirateWarrior.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,ramp,AggroPirateWarrior,1,1,21,11,3.1818181818181817,1.1818181818181819,1.2727272727272727,3.3846153846153846,7.0,1.5461347109416754,0.8461538461538461,0.0,0.15384615384615385,2.6363636363636362,3.4545454545454546,2.0,1.6363636363636365,0.5,0.36363636363636365,0.11428571428571428,0.07692307692307693,0.0,2.0,3.0,0.4,1.0,1.0,0.0,3.0,7,0.9090909090909091,0.7272727272727273,0.5555555555555556,4.7272727272727275,1.1818181818181819,0.8,3.727272727272727,16
game_006_ramp-MidrangeBuffPaladin_vs_ramp-MidrangeBuffPaladin.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,ramp,MidrangeBuffPaladin,1,1,27,14,4.5,1.3571428571428572,1.5714285714285714,3.789473684210526,8.0,1.9888888029148617,0.8947368421052632,0.05263157894736842,0.05263157894736842,3.0588235294117645,3.3529411764705883,2.0,2.857142857142857,0.35,0.2857142857142857,0.06349206349206349,0.10526315789473684,0.0,2.357142857142857,4.857142857142857,0.32673267326732675,1.5714285714285714,0.0,0.0,3.5714285714285716,6,1.5,1.0714285714285714,0.5833333333333334,5.571428571428571,1.2142857142857142,0.8210526315789474,2.5714285714285716,10
game_006_ramp-MidrangeBuffPaladin_vs_ramp-MidrangeJadeShaman.log,ramp,MidrangeBuffPaladin,midrange,PALADIN,ramp,MidrangeJadeShaman,2,0,25,12,2.5,1.3333333333333333,1.0,3.9375,8.0,2.1928505991061042,0.875,0.0625,0.0625,3.2857142857142856,3.357142857142857,3.0,1.0,0.0,0.16666666666666666,0.06666666666666667,0.0625,0.0,0.0,4.333333333333333,0.0,3.25,0.5833333333333334,0.0,1.6666666666666667,4,1.4166666666666667,1.0833333333333333,0.5666666666666667,5.583333333333333,0.75,0.881578947368421,4.416666666666667,14
